Year;Datetime;Stage;Stadium;City;Home Team Name;Home Team Goals;Away Team Goals;Away Team Name;Attendance
1998;22 Jun 1998 - 21:00 ;Group G;Stade Municipal;Toulouse ;Romania;2;1;England;33500
1998;23 Jun 1998 - 16:00 ;Group B;Stade de France;Saint-Denis ;Italy;2;1;Austria;80000
1998;23 Jun 1998 - 16:00 ;Group B;La Beaujoire;Nantes ;Chile;1;1;Cameroon;35500
1998;23 Jun 1998 - 21:00 ;Group A;Stade Geoffroy Guichard;Saint-Etienne ;Scotland;0;3;Morocco;30600
1998;23 Jun 1998 - 21:00 ;Group A;Stade V�lodrome;Marseilles ;Brazil;1;2;Norway;55000
1998;24 Jun 1998 - 16:00 ;Group C;Stade de Gerland;Lyon ;France;2;1;Denmark;39100
1998;24 Jun 1998 - 16:00 ;Group C;Stade du Parc Lescure;Bordeaux ;South Africa;2;2;Saudi Arabia;31800
1998;24 Jun 1998 - 21:00 ;Group D;Stade Felix Bollaert;Lens ;Spain;6;1;Bulgaria;38100
1998;24 Jun 1998 - 21:00 ;Group D;Stade Municipal;Toulouse ;Nigeria;1;3;Paraguay;33500
1998;25 Jun 1998 - 16:00 ;Group E;Parc des Princes;Paris ;Belgium;1;1;Korea Republic;45500
1998;25 Jun 1998 - 16:00 ;Group E;Stade Geoffroy Guichard;Saint-Etienne ;Netherlands;2;2;Mexico;30600
1998;25 Jun 1998 - 21:00 ;Group F;La Mosson;Montpellier ;Germany;2;0;Iran;29800
1998;25 Jun 1998 - 21:00 ;Group F;La Beaujoire;Nantes ;USA;0;1;Yugoslavia;35500
1998;26 Jun 1998 - 16:00 ;Group H;Stade de Gerland;Lyon ;Japan;1;2;Jamaica;39100
1998;26 Jun 1998 - 16:00 ;Group H;Stade du Parc Lescure;Bordeaux ;Argentina;1;0;Croatia;31800
1998;26 Jun 1998 - 21:00 ;Group G;Stade de France;Saint-Denis ;Romania;1;1;Tunisia;77000
1998;26 Jun 1998 - 21:00 ;Group G;Stade Felix Bollaert;Lens ;Colombia;0;2;England;38100
1998;27 Jun 1998 - 16:30 ;Round of 16;Stade V�lodrome;Marseilles ;Italy;1;0;Norway;55000
1998;27 Jun 1998 - 21:00 ;Round of 16;Parc des Princes;Paris ;Brazil;4;1;Chile;45500
1998;28 Jun 1998 - 16:30 ;Round of 16;Stade Felix Bollaert;Lens ;France;1;0;Paraguay;31800
1998;28 Jun 1998 - 21:00 ;Round of 16;Stade de France;Saint-Denis ;Nigeria;1;4;Denmark;77000
1998;29 Jun 1998 - 16:30 ;Round of 16;La Mosson;Montpellier ;Germany;2;1;Mexico;29800
1998;29 Jun 1998 - 21:00 ;Round of 16;Stade Municipal;Toulouse ;Netherlands;2;1;Yugoslavia;33500
1998;30 Jun 1998 - 16:30 ;Round of 16;Stade du Parc Lescure;Bordeaux ;Romania;0;1;Croatia;31800
1998;30 Jun 1998 - 21:00 ;Round of 16;Stade Geoffroy Guichard;Saint-Etienne ;Argentina;2;2;England;30600
1998;03 Jul 1998 - 16:30 ;Quarter-finals;Stade de France;Saint-Denis ;Italy;0;0;France;77000
1998;03 Jul 1998 - 21:00 ;Quarter-finals;La Beaujoire;Nantes ;Brazil;3;2;Denmark;35500
1998;04 Jul 1998 - 16:30 ;Quarter-finals;Stade V�lodrome;Marseilles ;Netherlands;2;1;Argentina;55000
1998;04 Jul 1998 - 21:00 ;Quarter-finals;Stade de Gerland;Lyon ;Germany;0;3;Croatia;39100
1998;07 Jul 1998 - 21:00 ;Semi-finals;Stade V�lodrome;Marseilles ;Brazil;1;1;Netherlands;54000
1998;08 Jul 1998 - 21:00 ;Semi-finals;Stade de France;Saint-Denis ;France;2;1;Croatia;76000
1998;11 Jul 1998 - 21:00 ;Match for third place;Parc des Princes;Paris ;Netherlands;1;2;Croatia;45500
1998;12 Jul 1998 - 21:00 ;Final;Stade de France;Saint-Denis ;Brazil;0;3;France;80000
2002;31 May 2002 - 20:30 ;Group A;Seoul World Cup Stadium;Seoul ;France;0;1;Senegal;62561
2002;01 Jun 2002 - 18:00 ;Group A;Munsu Football Stadium;Ulsan ;Uruguay;1;2;Denmark;30157
2002;01 Jun 2002 - 15:30 ;Group E;Niigata Stadium Big Swan;Niigata ;"rn"">Republic of Ireland";1;1;Cameroon;33679
2002;01 Jun 2002 - 20:30 ;Group E;Sapporo Dome;Sapporo ;Germany;8;0;Saudi Arabia;32218
2002;02 Jun 2002 - 14:30 ;Group F;Kashima Stadium;Ibaraki ;Argentina;1;0;Nigeria;34050
2002;02 Jun 2002 - 16:30 ;Group B;Busan Asiad Main Stadium;Busan ;Paraguay;2;2;South Africa;25186
2002;02 Jun 2002 - 18:30 ;Group F;Saitama Stadium 2002;Saitama ;England;1;1;Sweden;52721
2002;02 Jun 2002 - 20:30 ;Group B;Gwangju World Cup Stadium;Gwangju ;Spain;3;1;Slovenia;28598
2002;03 June 2002 - 18:00 ;Group C;Munsu Football Stadium;Ulsan ;Brazil;2;1;Turkey;33842
2002;03 Jun 2002 - 20:30 ;Group G;Sapporo Dome;Sapporo ;Italy;2;0;Ecuador;31081
2002;03 Jun 2002 - 15:30 ;Group G;Niigata Stadium Big Swan;Niigata ;Croatia;0;1;Mexico;32239
2002;04 June 2002 - 15:30 ;Group C;Gwangju World Cup Stadium;Gwangju ;China PR;0;2;Costa Rica;27217
2002;04 June 2002 - 18:00 ;Group H;Saitama Stadium 2002;Saitama ;Japan;2;2;Belgium;55256
2002;04 Jun 2002 - 20:30 ;Group D;Busan Asiad Main Stadium;Busan ;Korea Republic;2;0;Poland;48760
2002;05 Jun 2002 - 15:30 ;Group H;Kobe Wing Stadium;Kobe ;Russia;2;0;Tunisia;30957
2002;05 Jun 2002 - 18:00 ;Group D;Suwon World Cup Stadium;Suwon ;USA;3;2;Portugal;37306
2002;05 Jun 2002 - 20:30 ;Group E;Kashima Stadium;Ibaraki ;Germany;1;1;"rn"">Republic of Ireland";35854
2002;06 Jun 2002 - 15:30 ;Group A;Daegu World Cup Stadium;Daegu ;Denmark;1;1;Senegal;43500
2002;06 Jun 2002 - 18:00 ;Group E;Saitama Stadium 2002;Saitama ;Cameroon;1;0;Saudi Arabia;52328
2002;06 Jun 2002 - 20:30 ;Group A;Busan Asiad Main Stadium;Busan ;France;0;0;Uruguay;38289
2002;07 Jun 2002 - 15:30 ;Group F;Kobe Wing Stadium;Kobe ;Sweden;2;1;Nigeria;36194
2002;07 Jun 2002 - 20:30 ;Group F;Sapporo Dome;Sapporo ;Argentina;0;1;England;35927
2002;07 June 2002 - 18:00 ;Group B;Jeonju World Cup Stadium;Jeonju ;Spain;3;1;Paraguay;24000
2002;08 Jun 2002 - 15:30 ;Group B;Daegu World Cup Stadium;Daegu ;South Africa;1;0;Slovenia;47226
2002;08 Jun 2002 - 20:30 ;Group C;Jeju World Cup Stadium;Jeju ;Brazil;4;0;China PR;36750
2002;08 June 2002 - 18:00 ;Group G;Kashima Stadium;Ibaraki ;Italy;1;2;Croatia;36472
2002;09 Jun 2002 - 18:00 ;Group C;Incheon Football Stadium;Incheon ;Costa Rica;1;1;Turkey;42299
2002;09 Jun 2002 - 20:30 ;Group H;International Stadium Yokohama;Yokohama ;Japan;1;0;Russia;66108
2002;09 Jun 2002 - 15:30 ;Group G;Miyagi Stadium;Rifu ;Mexico;2;1;Ecuador;45610
2002;10 Jun 2002 - 15:30 ;Group D;Daegu World Cup Stadium;Daegu ;Korea Republic;1;1;USA;60778
2002;10 Jun 2002 - 20:30 ;Group D;Jeonju World Cup Stadium;Jeonju ;Portugal;4;0;Poland;31000
2002;10 Jun 2002 - 18:00 ;Group H;Oita Stadium Big Eye;Oita ;Tunisia;1;1;Belgium;39700
2002;11 Jun 2002 - 15:30 ;Group A;Incheon Football Stadium;Incheon ;Denmark;2;0;France;48100
2002;11 June 2002 - 15:30 ;Group A;Suwon World Cup Stadium;Suwon ;Senegal;3;3;Uruguay;33681
2002;11 Jun 2002 - 20:30 ;Group E;International Stadium Yokohama;Yokohama ;Saudi Arabia;0;3;"rn"">Republic of Ireland";65320
